Object_Type,moved_left,moved_right,Time
Person,0,1,2021-12-15 13:31:35.564244
Person,1,0,2021-12-15 13:31:35.832507
Person,0,1,2021-12-15 13:31:36.090900
Person,1,0,2021-12-15 13:31:36.355329
Person,0,1,2021-12-15 13:31:36.870452
Person,1,0,2021-12-15 13:31:37.393167
Person,0,1,2021-12-15 13:31:37.650704
Person,1,0,2021-12-15 13:31:38.435424
Person,0,1,2021-12-15 13:31:40.262922
Person,1,0,2021-12-15 13:31:43.170412
Person,0,1,2021-12-15 13:31:44.234832
Person,0,1,2021-12-15 13:31:46.582540
Person,0,1,2021-12-15 13:31:47.389876
Person,1,0,2021-12-15 13:31:49.473054
Person,0,1,2021-12-15 13:31:52.102374
Person,1,0,2021-12-15 13:31:52.363623
Person,0,1,2021-12-15 13:31:55.391203
Person,1,0,2021-12-15 13:31:55.707305
Person,0,1,2021-12-15 13:31:57.647754
Person,1,0,2021-12-15 13:31:57.904051
Person,0,1,2021-12-15 13:31:58.423627
Person,1,0,2021-12-15 13:31:59.474084
Person,0,1,2021-12-15 13:32:00.257130
Person,1,0,2021-12-15 13:32:02.602453
Person,0,1,2021-12-15 13:32:03.900113
Person,1,0,2021-12-15 13:32:04.159389
Person,0,1,2021-12-15 13:32:05.855502
Person,1,0,2021-12-15 13:32:07.493827
Person,0,1,2021-12-15 13:32:07.756134
Person,1,0,2021-12-15 13:32:08.276503
Person,0,1,2021-12-15 13:32:08.532690
Person,1,0,2021-12-15 13:32:08.800408
Person,0,1,2021-12-15 13:32:09.587156
Person,1,0,2021-12-15 13:32:10.107476
Person,0,1,2021-12-15 13:32:10.363324
Person,1,0,2021-12-15 13:32:10.886908
Person,0,1,2021-12-15 13:32:11.404175
Person,1,0,2021-12-15 13:32:11.930955
Person,0,1,2021-12-15 13:32:12.498658
Person,1,0,2021-12-15 13:32:12.749098
Person,0,1,2021-12-15 13:32:13.056803
Person,1,0,2021-12-15 13:32:13.636408
Person,0,1,2021-12-15 13:32:13.907026
Person,1,0,2021-12-15 13:32:15.217523
Person,0,1,2021-12-15 13:32:16.345702
Person,1,0,2021-12-15 13:32:16.711387
Person,0,1,2021-12-15 13:32:16.961821
Person,1,0,2021-12-15 13:32:17.271448
Person,0,1,2021-12-15 13:32:17.589052
Person,1,0,2021-12-15 13:32:18.645645
Person,0,1,2021-12-15 13:32:19.161826
Person,1,0,2021-12-15 13:32:20.288657
Person,0,1,2021-12-15 13:32:20.605737
Person,1,0,2021-12-15 13:32:21.142205
Person,0,1,2021-12-15 13:32:21.412576
Person,1,0,2021-12-15 13:32:22.461226
Person,0,1,2021-12-15 13:32:22.721566
Person,1,0,2021-12-15 13:32:22.983084
Person,0,1,2021-12-15 13:32:23.500749
Person,1,0,2021-12-15 13:32:23.758041
Person,0,1,2021-12-15 13:32:24.017105
